train,valid,test
4.808983193503486,4.274447917938232,4.4560621579488116
3.1932603783077664,4.060062289237976,4.222475369771321
2.555689016977946,3.046674370765686,3.1699695587158203
2.1125866174697876,3.0523953437805176,3.176840384801229
2.0188549757003784,3.0577765703201294,3.1938059329986572
1.9589486254586115,2.985029935836792,3.124323844909668
1.9326967663235135,3.0291709899902344,3.1767524083455405
1.923832310570611,3.0162433385849,3.143031676610311
1.9100650681389704,3.0332345962524414,3.1690072218577066
1.8818410237630208,3.0295671224594116,3.168635686238607
1.8763048516379461,3.029980182647705,3.174911101659139
1.8740848037931654,3.035102963447571,3.1783951918284097
1.8496262497372098,3.042195677757263,3.1858025391896567
1.8364262845781114,3.0543720722198486,3.195805470148722
1.8348066276974149,3.050376534461975,3.189664363861084
1.8384850554996066,3.0608386993408203,3.212601979573568
1.8248728381262884,3.0494537353515625,3.1972355047861734
1.8143395053015814,3.049065113067627,3.2073935667673745
1.8102196719911363,3.061410665512085,3.2106916904449463
1.8040359550052218,3.06391978263855,3.211729049682617
1.7900288105010986,3.0669562816619873,3.2187902132670083
1.7835217979219224,3.0752466917037964,3.2250465552012124
1.7788378397623699,3.0662561655044556,3.215561310450236
1.7714643875757854,3.087359070777893,3.231729030609131
1.7697065141465929,3.0831573009490967,3.2330098152160645
1.7540186511145697,3.0788075923919678,3.2316821416219077
1.748247226079305,3.0926119089126587,3.2392543156941733
1.748915712038676,3.0775814056396484,3.2376864751180015
1.7627812491522894,3.089320421218872,3.230722506841024
1.748641808827718,3.08142626285553,3.2338157494862876
1.7515111499362521,3.086490511894226,3.23439359664917
1.752371933725145,3.0850964784622192,3.2291980584462485
1.758592579099867,3.08952534198761,3.238407850265503
1.744215276506212,3.0872199535369873,3.2380564212799072
1.7428916427824233,3.0809192657470703,3.236262003580729
1.7461812496185303,3.0965182781219482,3.235234498977661
1.7516757647196453,3.079710364341736,3.236533006032308
1.7345161967807345,3.085637331008911,3.2368036111195884
1.7457131014929876,3.0940850973129272,3.239715337753296
1.7393309540218778,3.0941920280456543,3.237754980723063
1.7399728695551555,3.083589792251587,3.231241464614868
1.7380104329850938,3.086466908454895,3.232076327006022
1.7431435055202908,3.08942973613739,3.2407798767089844
1.7384068833457098,3.091342806816101,3.2430672645568848
1.730406297577752,3.0942176580429077,3.2396909395853677
1.743414666917589,3.0976569652557373,3.2402049700419107
1.7297914690441556,3.096039295196533,3.244994560877482
1.7339428530799017,3.084763288497925,3.24761168162028
1.741676304075453,3.1003072261810303,3.243945916493734
1.7305679586198595,3.087023138999939,3.2407408555348716
