train,valid,test
5.004241943359375,4.127720832824707,4.170618375142415
3.873868942260742,3.569707155227661,3.6186370849609375
3.572881963517931,3.3569865226745605,3.408376455307007
3.3871449099646673,3.2049145698547363,3.2524951299031577
3.2531634436713324,3.098085045814514,3.1407737731933594
3.1491235891977944,3.0171337127685547,3.054504076639811
3.05368529425727,2.953357219696045,2.996699810028076
2.9616141319274902,2.914362907409668,2.957857926686605
2.8966334660847983,2.852641463279724,2.9042153358459473
2.8156549665662975,2.8062360286712646,2.8609324296315513
2.746453709072537,2.768869400024414,2.8182729880015054
2.675164408153958,2.7693077325820923,2.818768342336019
2.606081962585449,2.725181818008423,2.77960737546285
2.5448720455169678,2.7379543781280518,2.783677577972412
2.471493191189236,2.723957896232605,2.7654548486073813
2.407504426108466,2.678135395050049,2.730987866719564
2.325303077697754,2.6996026039123535,2.745059092839559
2.2508094840579562,2.6884334087371826,2.7366475264231362
2.171428812874688,2.6866111755371094,2.759499947230021
2.098233938217163,2.7318031787872314,2.7900439898173013
2.0226458311080933,2.6998393535614014,2.759281555811564
1.933805783589681,2.684187889099121,2.761228879292806
1.8549774752722845,2.6908868551254272,2.7928770383199057
1.7712813350889418,2.6570364236831665,2.747678279876709
1.7012529373168945,2.657083749771118,2.7345827420552573
1.6226415634155273,2.621544599533081,2.7014079093933105
1.5819460683398776,2.6351550817489624,2.7107715606689453
1.5631739960776434,2.6307135820388794,2.7183554967244468
1.5546172459920247,2.6262779235839844,2.7271860440572104
1.5452435281541612,2.638952851295471,2.7365122636159263
1.5323304732640584,2.6458611488342285,2.7458225886027017
1.5232226186328464,2.6651114225387573,2.7575023969014487
1.507780008845859,2.656656861305237,2.7568952242533364
1.476233230696784,2.678995370864868,2.776020050048828
1.4879450268215604,2.6683130264282227,2.7793143590291343
1.483515461285909,2.683963418006897,2.7869781653086343
1.4708121220270793,2.694338083267212,2.8002371788024902
1.4639044602711995,2.6858408451080322,2.7986812591552734
1.4462773270077176,2.705413341522217,2.807218074798584
1.4313922060860529,2.718508720397949,2.8209943771362305
1.431564039654202,2.7177608013153076,2.8286192417144775
1.4271059963438246,2.713579535484314,2.8351693153381348
1.407557937833998,2.7283501625061035,2.8422730763753257
1.3999441067377727,2.747410774230957,2.8502848148345947
1.3878497547573514,2.755080223083496,2.8543604214986167
1.3842693567276,2.7465202808380127,2.8699350357055664
1.36975277794732,2.7688628435134888,2.880622148513794
1.3714909553527832,2.776146173477173,2.8856545289357505
1.3583615356021457,2.775688886642456,2.882493495941162
1.343826903237237,2.7813560962677,2.890838623046875
