train,valid,test
1.5367768473095365,1.6609515060078015,1.7057809772945585
1.419807160894076,1.6379266868938098,1.6834060975483485
1.3885243932406108,1.622203989462419,1.6694094169707525
1.3602002610762913,1.608416817405007,1.6547315007164365
1.3389626319209735,1.5997961651195178,1.6470147711890084
1.3166166502568457,1.5886825648221103,1.6326964923313685
1.2951468742556043,1.578569076277993,1.6219052019573392
1.2758800619178348,1.5744675289500842,1.6183428083147322
1.25651433898343,1.5608912814747204,1.6016237111318679
1.238688476383686,1.55432729287581,1.5968876055308752
1.223383966419432,1.5501596277410334,1.5918136437733967
1.2044889471597142,1.5432517311789773,1.5839017913455056
1.1869645242889721,1.5361787622625178,1.5776977822894143
1.1704226069980197,1.536234443837946,1.5765688249043055
1.154719062977367,1.5266566710038618,1.5694102616537184
1.1412802239259083,1.5251170613548972,1.5667674314408075
1.124473391307725,1.5288179570978337,1.5678794156937372
1.1158241877953212,1.529968109997836,1.5715578226816087
1.09852194868856,1.5213991728695957,1.5605109475907826
1.0872131403949525,1.52337016842582,1.5622482015973045
